timestamp,signal,peak,trough,threshold,beat_detected,bpm
4523012,2800,3483,2467,2975,0,0
4523072,2791,3477,2473,2975,0,0
4523158,2817,3471,2479,2975,0,0
4523218,2823,3465,2485,2975,0,0
4523304,2822,3459,2491,2975,0,0
4523369,2820,3453,2497,2975,0,0
4523435,2815,3449,2501,2975,0,0
4523495,2827,3443,2507,2975,0,0
4523581,2832,3437,2513,2975,0,0
4523641,2821,3431,2519,2975,0,0
4523727,2830,3425,2525,2975,0,0
4523787,2827,3419,2531,2975,0,0
4523873,2830,3413,2537,2975,0,0
4523938,2823,3407,2543,2975,0,0
4524004,2809,3403,2547,2975,0,0
4524064,2822,3397,2553,2975,0,0
4524150,2829,3391,2559,2975,0,0
4524210,2817,3385,2565,2975,0,0
4524296,2822,3379,2571,2975,0,0
4524356,2827,3373,2577,2975,0,0
4524442,2832,3367,2583,2975,0,0
4524605,2277,3363,2277,2821,0,0
4524665,2634,3357,2283,2820,0,0
4524731,2864,3353,2287,2820,1,157
4524791,2884,3347,2293,2820,0,157
4524877,2816,3341,2299,2820,0,157
4524937,2814,3335,2305,2820,0,157
4525023,2827,3329,2311,2820,0,157
4525088,2817,3323,2317,2820,0,157
4525154,2799,3319,2321,2820,0,157
4525214,2818,3313,2327,2820,0,151
4525300,2821,3307,2333,2820,0,151
4525360,2814,3301,2339,2820,0,151
4525446,2817,3295,2345,2820,0,151
4525506,2827,3289,2351,2820,0,151
4525592,2819,3283,2357,2820,0,151
4525657,2806,3277,2363,2820,0,146
4525723,2774,3273,2367,2820,0,146
4525783,2807,3267,2373,2820,0,146
4525869,2823,3261,2379,2820,0,146
4525929,2832,3255,2385,2820,0,146
4526015,2833,3249,2391,2820,1,143
4526075,2846,3243,2397,2820,0,143
4526146,2843,3239,2401,2820,0,143
4526206,2819,3233,2407,2820,0,143
4526292,2810,3227,2413,2820,0,143
4526352,2818,3221,2419,2820,0,145
4526438,2799,3215,2425,2820,0,145
4526498,2810,3209,2431,2820,0,145
4526584,2806,3203,2437,2820,0,145
4526649,2800,3197,2443,2820,0,145
4526715,2825,3193,2447,2820,1,141
4526775,2805,3187,2453,2820,0,141
4526861,2823,3181,2459,2820,0,141
4526921,2819,3175,2465,2820,0,141
4527007,2823,3169,2471,2820,0,141
4527067,2839,3163,2477,2820,0,140
4527137,2832,3159,2481,2820,0,140
4527197,2832,3153,2487,2820,0,140
4527283,2807,3147,2493,2820,0,140
4527343,2815,3141,2499,2820,0,140
4527429,2791,3135,2505,2820,0,143
4527489,2807,3129,2511,2820,0,143
4527575,2805,3123,2517,2820,0,143
4527635,2814,3117,2523,2820,0,143
4527706,2843,3113,2527,2820,0,143
4527766,2803,3107,2533,2820,0,143
4527852,2833,3101,2539,2820,1,143
4527912,2828,3095,2545,2820,0,143
4527998,2832,3089,2551,2820,0,143
4528058,2827,3083,2557,2820,0,143
4528144,2807,3077,2563,2820,0,143
4528209,2816,3071,2569,2820,0,143
4528275,2798,3067,2573,2820,0,143
4528335,2811,3061,2579,2820,0,143
4528421,2815,3055,2585,2820,0,143
4528481,2800,3049,2591,2820,0,143
4528567,2816,3043,2597,2820,0,160
4528627,2822,3037,2603,2820,0,160
4528788,2262,3033,2262,2648,0,160
4528848,2627,3027,2268,2647,0,160
4528914,2871,3023,2272,2647,0,164
4528974,2881,3017,2278,2647,0,164
4529060,2806,3011,2284,2647,0,164
4529120,2803,3005,2290,2647,0,164
4529206,2831,2999,2296,2647,0,164
4529266,2830,2993,2302,2647,0,164
4529337,2832,2989,2306,2647,0,164
4529397,2805,2983,2312,2647,0,164
4529483,2805,2977,2318,2647,0,164
4529543,2820,2971,2324,2647,0,164
4529629,2835,2965,2330,2647,0,164
4529689,2838,2959,2336,2647,0,164
4529775,2827,2953,2342,2647,0,164
4529840,2813,2947,2348,2647,0,164
4529906,2810,2943,2352,2647,0,164
4529966,2826,2937,2358,2647,0,164
4530052,2810,2931,2364,2647,0,164
4530112,2813,2925,2370,2647,0,164
4530198,2801,2919,2376,2647,0,164
4530258,2805,2913,2382,2647,0,164
4530328,2832,2909,2386,2647,0,164
4530388,2782,2903,2392,2647,0,164
4530474,2800,2897,2398,2647,0,164
4530534,2819,2891,2404,2647,0,164
4530620,2822,2885,2410,2647,0,164
4530680,2825,2879,2416,2647,0,164
4530766,2832,2873,2422,2647,0,164
4530826,2830,2867,2428,2647,0,164
4530897,2831,2863,2432,2647,0,164
4530957,2810,2857,2438,2647,0,164
4531043,2810,2851,2444,2647,0,164
4531103,2826,2855,2450,2652,0,164
4531189,2816,2849,2456,2652,0,164
4531249,2819,2843,2462,2652,0,164
4531335,2815,2837,2468,2652,0,164
4531400,2813,2858,2474,2666,0,164
4531466,2799,2854,2478,2666,0,164
4531526,2810,2848,2484,2666,0,164
4531612,2831,2842,2490,2666,0,164
4531672,2829,2836,2496,2666,0,164
4531758,2831,2831,2502,2666,0,164
4531818,2828,2832,2508,2670,0,164
4531889,2834,2843,2512,2677,0,0
4531949,2807,2837,2518,2677,0,0
4532035,2816,2831,2524,2677,0,0
4532095,2793,2825,2530,2677,0,0
4532181,2788,2819,2536,2677,0,0
4532241,2806,2845,2542,2693,0,0
4532327,2832,2839,2548,2693,0,0
4532387,2825,2833,2554,2693,0,0
4532548,2274,2829,2274,2552,0,0
4532608,2618,2823,2280,2551,1,152
4532674,2863,2863,2284,2572,0,152
4532734,2916,2967,2290,2628,0,152
4532820,2795,2961,2296,2628,0,152
4532880,2797,2955,2302,2628,0,152
4532966,2829,2949,2308,2628,0,152
4533031,2806,2943,2314,2628,0,152
4533097,2800,2939,2318,2628,0,152
4533157,2802,2933,2324,2628,0,152
4533243,2818,2927,2330,2628,0,152
4533303,2816,2921,2336,2628,0,152
4533389,2830,2915,2342,2628,0,152
4533449,2839,2909,2348,2628,0,152
4533535,2819,2903,2354,2628,0,152
4533600,2817,2897,2360,2628,0,152
4533666,2810,2893,2364,2628,0,152
4533726,2822,2887,2370,2628,0,152
4533812,2816,2881,2376,2628,0,152
4533872,2826,2875,2382,2628,0,152
4533958,2802,2869,2388,2628,0,152
4534018,2825,2863,2394,2628,0,152
4534089,2837,2859,2398,2628,0,152
4534149,2809,2853,2404,2628,0,152
4534235,2823,2847,2410,2628,0,152
4534295,2805,2841,2416,2628,0,152
4534381,2829,2835,2422,2628,0,152
4534441,2830,2831,2428,2629,0,152
4534527,2832,2832,2434,2632,0,152
4534593,2816,2826,2440,2633,0,152
4534659,2784,2824,2444,2634,0,152
4534719,2802,2828,2450,2639,0,152
4534805,2807,2830,2456,2643,0,152
4534865,2815,2847,2462,2654,0,152
4534951,2832,2841,2468,2654,0,152
4535011,2822,2835,2474,2654,0,152
4535097,2816,2830,2480,2655,0,152
4535162,2823,2859,2486,2672,0,152
4535228,2803,2855,2490,2672,0,152
4535288,2821,2849,2496,2672,0,152
4535374,2817,2843,2502,2672,0,152
4535434,2811,2837,2508,2672,0,152
4535520,2831,2831,2514,2672,0,152
4535580,2832,2833,2520,2676,0,152
4535651,2839,2841,2524,2682,0,0
4535711,2781,2835,2530,2682,0,0
4535797,2810,2829,2536,2682,0,0
4535857,2823,2839,2542,2690,0,0
4535943,2832,2833,2548,2690,0,0
4536003,2829,2830,2554,2692,0,0
4536089,2832,2832,2560,2695,0,0
4536149,2826,2830,2566,2698,0,0
4536220,2837,2843,2570,2706,0,0
4536280,2812,2837,2576,2706,0,0
4536366,2818,2831,2582,2706,0,0
4536426,2834,2835,2588,2711,0,0
4536512,2797,2831,2594,2712,0,0
4536572,2800,2833,2600,2716,0,0
4536658,2822,2827,2606,2716,0,0
4536819,2286,2823,2286,2555,0,0
4536879,2608,2817,2292,2554,1,137
4536945,2869,2869,2296,2581,0,137
4537005,2897,2939,2302,2620,0,137
4537091,2821,2933,2308,2620,0,137
4537151,2813,2927,2314,2620,0,137
4537237,2823,2921,2320,2620,0,137
4537297,2818,2915,2326,2620,0,137
4537368,2831,2911,2330,2620,0,137
4537428,2803,2905,2336,2620,0,137
4537514,2801,2899,2342,2620,0,137
4537574,2800,2893,2348,2620,0,137
4537660,2805,2887,2354,2620,0,137
4537720,2817,2881,2360,2620,0,137
4537806,2823,2875,2366,2620,0,137
4537871,2814,2869,2372,2620,0,137
4537937,2815,2865,2376,2620,0,137
4537997,2830,2859,2382,2620,0,137
4538083,2837,2853,2388,2620,0,137
4538143,2833,2847,2394,2620,0,137
4538229,2810,2841,2400,2620,0,137
4538289,2802,2835,2406,2620,0,137
4538360,2817,2831,2410,2620,0,137
4538420,2801,2825,2416,2620,0,137
4538506,2825,2825,2422,2622,0,137
4538566,2816,2837,2428,2632,0,137
4538652,2807,2831,2434,2632,0,137
4538712,2815,2833,2440,2636,0,137
4538798,2832,2832,2446,2638,0,137
4538858,2835,2835,2452,2642,0,137
4538929,2816,2841,2456,2648,0,137
4538989,2811,2835,2462,2648,0,137
4539075,2828,2829,2468,2648,0,137
4539135,2827,2829,2474,2651,0,137
4539221,2826,2829,2480,2654,0,137
4539281,2813,2837,2486,2661,0,137
4539367,2800,2831,2492,2661,0,137
4539432,2805,2854,2498,2676,0,137
4539498,2818,2850,2502,2676,0,137
4539558,2818,2844,2508,2676,0,137
4539644,2832,2838,2514,2676,0,137
4539704,2819,2832,2520,2676,0,137
4539790,2832,2832,2526,2678,0,137
4539850,2830,2830,2532,2680,0,137
4539921,2831,2858,2536,2697,0,0
4539981,2783,2852,2542,2697,0,0
4540067,2816,2846,2548,2697,0,0
4540127,2821,2858,2554,2706,0,0
4540213,2807,2852,2560,2706,0,0
4540273,2809,2846,2566,2706,0,0
4540359,2809,2840,2572,2706,0,0
4540419,2795,2834,2578,2706,0,0
4540581,2280,2830,2280,2556,0,0
4540641,2621,2824,2286,2555,1,120
4540707,2874,2874,2290,2581,0,120
4540767,2913,2941,2296,2618,0,120
4540853,2823,2935,2302,2618,0,120
4540913,2821,2929,2308,2618,0,120
4540999,2819,2923,2314,2618,0,120
4541059,2831,2917,2320,2618,0,120
4541130,2811,2913,2324,2618,0,120
4541190,2799,2907,2330,2618,0,120
4541276,2832,2901,2336,2618,0,120
4541336,2833,2895,2342,2618,0,120
4541422,2827,2889,2348,2618,0,120
4541482,2837,2883,2354,2618,0,120
4541568,2829,2877,2360,2618,0,120
4541633,2818,2871,2366,2618,0,120
4541699,2785,2867,2370,2618,0,120
4541759,2817,2861,2376,2618,0,120
4541845,2803,2855,2382,2618,0,120
4541905,2831,2849,2388,2618,0,120
4541991,2814,2843,2394,2618,0,120
4542051,2816,2843,2400,2621,0,120
4542122,2832,2856,2404,2630,0,120
4542182,2802,2850,2410,2630,0,120
4542268,2827,2844,2416,2630,0,120
4542328,2836,2838,2422,2630,0,120
4542414,2833,2833,2428,2630,0,120
4542474,2830,2832,2434,2633,0,120
4542560,2816,2826,2440,2633,0,120
4542620,2821,2821,2446,2633,0,120
4542691,2817,2836,2450,2643,0,120
4542751,2791,2830,2456,2643,0,120
4542837,2818,2824,2462,2643,0,120
4542897,2809,2847,2468,2657,0,120
4542983,2807,2841,2474,2657,0,120
4543043,2816,2845,2480,2662,0,120
4543129,2821,2839,2486,2662,0,120
4543194,2811,2876,2492,2684,0,120
4543260,2801,2872,2496,2684,0,120
4543320,2832,2866,2502,2684,0,120
4543406,2836,2860,2508,2684,0,120
4543466,2825,2854,2514,2684,0,120
4543552,2806,2848,2520,2684,0,120
4543612,2815,2842,2526,2684,0,120
4543683,2818,2861,2530,2695,0,0
4543743,2769,2855,2536,2695,0,0
4543829,2822,2849,2542,2695,0,0
4543889,2831,2846,2548,2697,0,0
4543975,2816,2840,2554,2697,0,0
4544035,2833,2837,2560,2698,0,0
4544121,2832,2832,2566,2698,0,0
4544181,2832,2832,2572,2701,0,0
4544343,2273,2828,2273,2551,0,0
4544403,2634,2822,2279,2550,1,106
4544469,2851,2851,2283,2566,0,106
4544529,2896,2971,2289,2630,0,106
4544615,2816,2965,2295,2630,0,106
4544675,2807,2959,2301,2630,0,106
4544761,2810,2953,2307,2630,0,106
4544827,2819,2947,2313,2630,0,106
4544893,2816,2943,2317,2630,0,106
4544953,2837,2937,2323,2630,0,106
4545039,2810,2931,2329,2630,0,106
4545099,2805,2925,2335,2630,0,106
4545185,2800,2919,2341,2630,0,106
4545245,2813,2913,2347,2630,0,106
4545331,2818,2907,2353,2630,0,106
4545396,2800,2901,2359,2630,0,106
4545462,2807,2897,2363,2630,0,106
